宁夏回族自治区;Ningxia, China, ;|12578010
阿拉善市;Alashan, Nei Mongol, China, ;|26198054
赤峰市;Chifeng (赤峰市), Nei Mongol, China, ;|23424781
鄂尔多斯市;Erdos, Nei Mongol, China, ;|26198286
呼伦贝尔市;Hulunbeier, Nei Mongol, China, ;|26198222
呼和浩特市;Hohhot (呼和浩特市), Nei Mongol, China, ;|23424781
石嘴山市;Shizuishan (石嘴山市), Ningxia, China, ;|23424781
吴忠;Wuzhong (吴忠), Ningxia, China, ;|23424781
银川市;Yinchuan, Ningxia, China, ;|23424781
固原市;Guyuan, Ningxia, China, ;|26198137
西宁市;Xining, Qinghai, China, ;|23424781
玉树藏族自治州;Yushu Zangzu, Qinghai, China, ;|26198287
果洛藏族自治州;Guoluo Zangzu, Qinghai, China, ;|26198234
海西蒙古族藏族自治州;Haixi Mengguzu Zangzu, Qinghai, China, ;|26198232
海南藏族自治州;Hainan Zangzu, Qinghai, China, ;|26198288
海北藏族自治州;Haibei Zangzu, Qinghai, China, ;|26198290
海东市;Haidong, Qinghai, China, ;|26198291
临沂市;Linyi, Shandong, China, ;|23424781
聊城市;Liaocheng (聊城市), Shandong, China, ;|23424781
莱芜市;Laiwu, Shandong, China, ;|23424781
青岛市;Qingdao, Shandong, China, ;|23424781
日照市;Jichaohsien (日照市), Shandong, China, ;|23424781
泰安市;Tai'an (泰安市), Shandong, China, ;|23424781
潍坊市;Weifang, Shandong, China, ;|23424781
威海市;Weihai (威海市), Shandong, China, ;|23424781
烟台市;Yantai, Shandong, China, ;|26198080
枣庄市;Zaozhuang, Shandong, China, ;|23424781
滨州市;Binzhou, Shandong, China, ;|23424781
德州市;Dezhou (德州市), Shandong, China, ;|23424781
东营市;Dongying, Shandong, China, ;|23424781
菏泽市;Heze, Shandong, China, ;|23424781
济南市;Jinan, Shandong, China, ;|23424781
济宁市;Jining, Shandong, China, ;|23424781
淄博市;Zhangdian, Shandong, China, ;|23424781
吕梁市;Lyuliang, Shanxi, China, ;|26198112
临汾市;Linfen, Shanxi, China, ;|23424781
忻州市;Xinzhou (忻州市), Shanxi, China, ;|23424781
朔州市;Shuozhou (朔州市), Shanxi, China, ;|23424781
太原市;Taiyuan, Shanxi, China, ;|23424781
阳泉市;Yangquan, Shanxi, China, ;|26198113
运城市;Yuncheng, Shanxi, China, ;|26198109
长治市;Changzhi, Shanxi, China, ;|26198309
大同市;Datong (大同市), Shanxi, China, ;|23424781
晋中市;Jinzhong, Shanxi, China, ;|26198308
晋城市;Jincheng (晋城市), Shanxi, China, ;|23424781
商洛市;Shangluo, Shaanxi, China, ;|26198115
咸阳市;Xianyang (咸阳市), Shaanxi, China, ;|23424781
铜川市;Tongchuan, Shaanxi, China, ;|26198121
渭南市;Weinan (渭南市), Shaanxi, China, ;|23424781
西安市;Xi'an (西安市), Shaanxi, China, ;|23424781
延安市;Yan'an (延安市), Shaanxi, China, ;|23424781
榆林市;Yulin (榆林市), Shaanxi, China, ;|23424781
安康市;Ankang (安康市), Shaanxi, China, ;|23424781
宝鸡市;Baoji, Shaanxi, China, ;|26198118
汉中市;Hanzhong, Shaanxi, China, ;|23424781
绵阳市;Mianyang (绵阳市), Sichuan, China, ;|23424781
泸州市;Luzhou (泸州市), Sichuan, China, ;|23424781
乐山市;Leshan (乐山市), Sichuan, China, ;|23424781
凉山彝族自治州;Liangshan Yizu, Sichuan, China, ;|26198194
眉山市;Meishan, Sichuan, China, ;|26198198
遂宁市;Suining, Sichuan, China, ;|23424781
雅安市;Ya'an (雅安市), Sichuan, China, ;|23424781
宜宾市;Yibin, Sichuan, China, ;|26198377
攀枝花市;Panzhihua (攀枝花市), Sichuan, China, ;|23424781
南充市;Nanchong (南充市), Sichuan, China, ;|23424781
内江市;Neijiang (内江市), Sichuan, China, ;|23424781
巴中市;Bazhong, Sichuan, China, ;|26198294
成都市;Chengdu, Sichuan, China, ;|23424781
达州市;Dazhou, Sichuan, China, ;|26198292
德阳市;Deyang (德阳市), Sichuan, China, ;|23424781
甘孜藏族自治州;Ganzi Zangzu, Sichuan, China, ;|26198324
广元市;Guangyuan, Sichuan, China, ;|26198293
广安市;Guang'an, Sichuan, China, ;|26198296
资阳市;Ziyang, Sichuan, China, ;|26198205
自贡市;Zigong (自贡市), Sichuan, China, ;|23424781
林芝市;nyingchi, Tibet, China, ;|26198303
拉萨市;Lhasa, Tibet, China, ;|23424781
日喀则市;Rikaze, Tibet, China, ;|26198320
山南;Shannan, Tibet, China, ;|26198236
那曲;Heihe, Heilongjiang, China, ;|23424781
阿里;NGQ - Ngari Gunsa Airport, Gar, Tibet, China, ;|56617977
昌都;Changdu, Tibet, China, ;|26198318
吐鲁番市;Tulufan, Xinjiang, China, ;|26198315
乌鲁木齐市;Urumqi (乌鲁木齐市), Xinjiang, China, ;|23424781
伊宁市;Yining (伊宁市), Xinjiang, China, ;|23424781
阿图什市;Artux (阿图什市), Xinjiang, China, ;|23424781
阿克苏市;Aksu, Xinjiang, China, ;|23424781
昌吉市;Changji (昌吉市), Xinjiang, China, ;|23424781
哈密市;Hami (哈密市), Xinjiang, China, ;|23424781
和田市;Hotan (和田市), Xinjiang, China, ;|23424781
库尔勒市;Korla (库尔勒市), Xinjiang, China, ;|23424781
克拉玛依市;Karamay (克拉玛依市), Xinjiang, China, ;|23424781
喀什市;Kashi (喀什市), Xinjiang, China, ;|23424781
临沧市;Lincang, Yunnan, China, ;|26198322
丽江市;Lijiang, Yunnan, China, ;|26198191
昆明市;Kunming, Yunnan, China, ;|23424781
曲靖市;Qujing (曲靖市), Yunnan, China, ;|23424781
文山壮族苗族自治州;Wenshan Zhuangzu Miaozu, Yunnan, China, ;|26198185
昭通市;Zhaotong (昭通市), Yunnan, China, ;|23424781
玉溪市;Yuxi, Yunnan, China, ;|26198184
怒江傈僳族自治州;Nujiang Lisuzu, Yunnan, China, ;|26198189
保山市;Baoshan (保山市), Yunnan, China, ;|23424781
楚雄市;Chuxiong (楚雄市), Yunnan, China, ;|23424781
大理市;Dali, Yunnan, China, ;|23424781
迪庆藏族自治州;Diqing Zangzu, Yunnan, China, ;|26198190
个旧市;Gejiu, Yunnan, China, ;|23424781
景洪市;Yunjinghong (景洪市), Yunnan, China, ;|23424781
衢州市;Quzhou (衢州市), Hebei, China, ;|23424781
丽水市;Yeosu (丽水市), Jeollanam-Do, South Korea, ;|23424868
绍兴市;Shaoxing (绍兴市), Zhejiang, China, ;|23424781
温州市;Wenzhou (温州市), Zhejiang, China, ;|23424781
台州市;Taizhou, Zhejiang, China, ;|26198375
宁波市;Ningbo (宁波市), Zhejiang, China, ;|23424781
舟山市;Zhoushan (舟山市), Zhejiang, China, ;|23424781
杭州市;Hangzhou, Zhejiang, China, ;|23424781
湖州市;Huzhou (湖州市), Zhejiang, China, ;|23424781
嘉兴市;Jiaxing (嘉兴市), Zhejiang, China, ;|23424781
金华市;Jinhua (金华市), Zhejiang, China, ;|23424781
石河子市;Shihezi (石河子市), Xinjiang, China, ;|23424781
阿拉尔;Aral (阿拉尔), Qinghai, China, ;|23424781
北京市;Beijing (北京市), Beijing, China, ;|23424781
上海市;Shanghai (上海市), Shanghai, China, ;|23424781
天津市;Tianjin (天津市), Tianjin, China, ;|23424781
重庆市;Chongqing (重庆市), Chongqing, China, ;|23424781
定安镇;Ding'an (定安镇), Guangxi, China, ;|23424781
东方镇;Dongfang, Hainan, China, ;|23424781
临高;Lingao (临高), Hainan, China, ;|23424781
屯昌;Tunchang (屯昌), Hainan, China, ;|23424781
万宁市;Wancheng, Hainan, China, ;|23424781
文昌市;Wencheng (文昌市), Hainan, China, ;|23424781
五指山市;Wuzhishan (五指山市), Hainan, China, ;|20254952
济源市;Jiyuan, Henan, China, ;|26198370
潜江市;Qianjiang (潜江市), Chongqing, China, ;|23424781
神农架;Shennongjia (神农架), Hubei, China, ;|23424781
天门市;Tianmen (天门市), Hubei, China, ;|23424781
仙桃市;Xiantao (仙桃市), Hubei, China, ;|23424781
凭祥;Pingxiang (凭祥), Guangxi, China, ;|23424781
琼山;Qiongshan (琼山), Hainan, China, ;|23424781
玉门市;Yumen (玉门市), Gansu, China, ;|23424781
敦煌市;Dunhuang (敦煌市), Gansu, China, ;|23424781
九龙;Kowloon City, Hong Kong, ;|24703135
新界;DMA New Territories, Hong Kong, ;|28298476
